Syst,Gene,alphaLow,alpha,alphaHigh,thalfLowRaw,thalfRaw,thalfHighRaw,thalfLow,thalf,thalfHigh,Yeq,iterations,GoodMeanCounts,ss.abundance,syn.low,syn,syn.high
Q0045,COX1,0.0106,0.0137,0.0168,41.3,50.6,65.1,70.1,101.8,185.3,473.9,1000,0,0.0222,0,0,0
Q0050,AI1,0.0368,0.0561,0.078,8.9,12.4,18.8,9.7,14.1,23.2,940.7,1000,1,0.0228,0.001,0.001,0.002
Q0055,AI2,0.028,0.0368,0.0506,13.7,18.8,24.8,15.9,23.1,32.9,1512,1000,1,0.006,0,0,0
Q0060,AI3,0.0426,0.0842,0.1305,5.3,8.2,16.3,5.6,9,19.4,92,1000,0,0.0018,0,0,0
Q0075,AI5_BETA,0.0487,0.0857,0.1386,5,8.1,14.2,5.3,8.8,16.6,145.6,1000,0,0.006,0,0.001,0.001
Q0105,COB,0.0164,0.0205,0.024,28.9,33.9,42.2,40.6,51.1,72.7,122,1000,0,0.0078,0,0,0
Q0120,BI4,0.06,0.1273,0.1772,3.9,5.4,11.6,4.1,5.8,13.1,20.8,1000,0,0.0042,0,0.001,0.001
Q0160,SCEI,0.0201,0.0251,0.0316,21.9,27.6,34.5,28,38.1,52.5,171.6,1000,0,0.0252,0.001,0.001,0.001
Q0182,Q0182,0.06,0.1303,0.2028,3.4,5.3,11.6,3.5,5.6,13.1,19.6,1000,0,0.0018,0,0,0
Q0275,COX3,0.0123,0.0155,0.0186,37.2,44.8,56.5,59.1,80.9,129.1,489.6,1000,0,0.0048,0,0,0
YAL001C,TFC3,0.0828,0.1017,0.1196,5.8,6.8,8.4,6.1,7.3,9.1,2860.2,1000,1,2.577,0.213,0.262,0.308
YAL002W,VPS8,0.1011,0.1224,0.1444,4.8,5.7,6.9,5,6,7.4,4603.2,1000,1,2.49,0.252,0.305,0.36
YAL005C,SSA1,0.0461,0.0925,0.1168,5.9,7.5,15,6.3,8.1,17.7,52645.7,100,1,54.54,2.514,5.045,6.37
YAL007C,ERP2,0.0302,0.0349,0.0386,17.9,19.9,23,21.8,24.8,29.8,5024.8,1000,1,8.841,0.267,0.309,0.341
YAL008W,FUN14,0.0268,0.0339,0.0401,17.3,20.4,25.9,20.9,25.7,34.9,1558.9,1000,1,4.984,0.134,0.169,0.2
YAL009W,SPO7,0.0383,0.045,0.0506,13.7,15.4,18.1,15.9,18.2,22.1,1072.4,1000,1,1.882,0.072,0.085,0.095
YAL010C,MDM10,0.094,0.1117,0.1317,5.3,6.2,7.4,5.6,6.6,8,703.2,1000,1,1.322,0.124,0.148,0.174
